protein_id,graph_degree,graph_weight,graph_lift
Q9NRD5,17,240.0,96.24372000000001
P56693,17,240.0,96.24372000000001
B5MCN3,956,4827.0,6409.9342900000065
Q99999,956,4827.0,6409.9342900000065
Q9UDX3,956,4827.0,6409.9342900000065
Q8IYX3,1,25.0,5.13544
Q8N8J0,220,891.0,1415.55727
A6NJZ7,220,891.0,1415.55727
A8MPS7,1,25.0,5.13544
A4QPH2,222,990.0,1428.1206200000001
P68036,1,25.0,5.13544
A6NGB0,1,25.0,5.13544
A6NNM3,220,891.0,1415.55727
P0C7N4,220,891.0,1415.55727
Q9HCN8,1,25.0,5.13544
Q9UFD9,220,891.0,1415.55727
Q96JB3,1,25.0,5.13544
A0A6I8PU40,326,2027.0,2227.748279999998
Q9Y6X9,326,2027.0,2227.748279999998
Q8IU80,683,3020.0,4361.257119999999
O43272,219,866.0,1410.42183
P61581,219,866.0,1410.42183
Q5BKY6,376,1604.0,2434.7251899999983
A0A494C0N9,219,866.0,1410.42183
B5MD39,376,1604.0,2434.7251899999983
P61580,219,866.0,1410.42183
Q14129,219,866.0,1410.42183
P20472,618,2848.0,4140.337880000001
Q9ULX9,663,3331.0,4338.849010000001
O60733,663,3331.0,4338.849010000001
Q5THR3,722,3038.0,4806.05253
P53673,216,1332.0,1446.3115200000013
P53674,216,1332.0,1446.3115200000013
P32927,827,3688.0,5358.4061500000125
A4QPB2,460,2174.0,2896.6004399999993
P0DOY2,464,1860.0,3209.205230000003
B9A064,464,1860.0,3209.205230000003
P0CF74,464,1860.0,3209.205230000003
P0DOX8,464,1860.0,3209.205230000003
A0M8Q6,464,1860.0,3209.205230000003
P0DOY3,464,1860.0,3209.205230000003
A0A0A0MT76,464,1860.0,3209.205230000003
P0CG04,464,1860.0,3209.205230000003
Q7Z4Y8,30,151.0,187.73556000000002
P46109,698,2953.0,4671.994180000006
Q9UBR1,458,1986.0,2996.64688
Q96NT3,458,1986.0,2996.64688
P62318,458,1986.0,2996.64688
Q9BPW4,50,323.0,287.89348
O60784,896,3627.0,5793.107500000001
Q9BW83,444,1853.0,2789.45203
P02144,431,1995.0,2733.811370000001
P48050,815,2802.0,5520.804709999998
O43731,815,2802.0,5520.804709999998
Q96AY4,167,745.0,1026.9530799999998
P48739,167,745.0,1026.9530799999998
Q9Y6J0,99,281.0,646.28531
Q9UGT4,99,281.0,646.28531
O95922,273,1048.0,1786.6230899999978
Q9NQ50,210,725.0,1385.11087
P54198,210,725.0,1385.11087
Q8N1L1,49,309.0,293.66974
Q9UGR2,153,583.0,1026.6758199999995
Q14106,153,583.0,1026.6758199999995
P46060,153,583.0,1026.6758199999995
Q9Y535,153,583.0,1026.6758199999995
Q10587,153,583.0,1026.6758199999995
Q99798,153,583.0,1026.6758199999995
Q7RTV0,153,583.0,1026.6758199999995
Q5R3F8,446,2359.0,3217.6973199999993
Q9UGU5,554,1835.0,3498.9295600000023
Q3SYA9,2,99.0,12.56335
O95721,2,99.0,12.56335
P05546,2,99.0,12.56335
P42356,2,99.0,12.56335
Q9H0A3,2,99.0,12.56335
Q8N5Z5,27,153.0,155.77140999999995
P30566,8,92.0,44.01859
Q96HU1,8,92.0,44.01859
Q53GT1,78,300.0,469.39538000000005
Q96GP6,78,300.0,469.39538000000005
P28482,130,466.0,873.6822599999992
Q9UH36,1,132.0,7.06173
Q9NQG7,1,132.0,7.06173
Q9UBB9,1,132.0,7.06173
Q6ICH7,1,132.0,7.06173
P53007,13,140.0,75.56197
P53675,13,140.0,75.56197
Q9BXQ6,550,2985.0,3640.3988200000013
O95567,220,1073.0,1368.3521799999996
Q13323,152,1413.0,898.1487199999996
Q8IVS2,152,1413.0,898.1487199999996
Q01844,74,401.0,452.69472
Q10567,74,401.0,452.69472
Q92737,74,401.0,452.69472
Q9Y3P4,74,401.0,452.69472
Q99501,74,401.0,452.69472
Q9Y6U7,25,126.0,151.95341000000002
Q8WTX7,4,30.0,21.71678
Q9BXI6,4,30.0,21.71678
Q15459,4,30.0,21.71678
Q569K6,4,30.0,21.71678
Q9H6A9,4,30.0,21.71678
A6NHG4,106,291.0,708.2424899999997
P30046,106,291.0,708.2424899999997
P0CG30,106,291.0,708.2424899999997
P0CG29,106,291.0,708.2424899999997
A0A1W2PR19,106,291.0,708.2424899999997
Q9UGU0,100,795.0,624.0850600000001
P10635,100,795.0,624.0850600000001
Q9H4I9,100,795.0,624.0850600000001
P56556,100,795.0,624.0850600000001
A0A087X1C5,100,795.0,624.0850600000001
Q6ICB4,100,795.0,624.0850600000001
Q9UDX5,21,96.0,130.23663000000002
O76054,21,96.0,130.23663000000002
Q96DF8,16,69.0,89.50127
O15499,16,69.0,89.50127
A0A494C0Y3,157,738.0,1024.3033599999997
