site,n,accuracy,balanced_accuracy,f1,roc_auc,model
site1,267,0.8913857677902621,0.8940668202764976,0.8755364806866953,0.9644009216589862,proteomics
site2,266,0.8796992481203008,0.8826183778715424,0.8584070796460177,0.9496015002344116,proteomics
site3,267,0.9063670411985019,0.9141355140186915,0.8908296943231441,0.970911214953271,proteomics
site1,267,0.8913857677902621,0.8940668202764976,0.8755364806866953,0.9649769585253455,proteomics_covariates
site2,266,0.8796992481203008,0.8826183778715424,0.8584070796460177,0.9501875293014533,proteomics_covariates
site3,267,0.898876404494382,0.9078855140186917,0.8831168831168831,0.970677570093458,proteomics_covariates
site1,267,0.8913857677902621,0.8940668202764976,0.8755364806866953,0.9650921658986176,proteomics_covariates_haplograph
site2,266,0.8834586466165414,0.8857829348335677,0.8622222222222222,0.9496601031411158,proteomics_covariates_haplograph
site3,267,0.9026217228464419,0.9110105140186916,0.8869565217391304,0.9703855140186916,proteomics_covariates_haplograph
