feature,coefficient
metadata__age_26,-0.3923033106968447
metadata__age_69,-0.3892982411002761
metadata__age_63,-0.38834635855943017
proteins__O95461,0.38448472513297927
proteins__Q96SF2,-0.3843732733205065
proteins__O00541,-0.38432882416357583
proteins__Q8IWY4,-0.3770517014438766
proteins__A6NNM3,0.37599110505731115
proteins__P07305,0.37385370666458184
proteins__P0CF74,0.3736546924903572
metadata__age_34,0.3729749606687674
proteins__Q04917,-0.37279499203722416
proteins__Q96Q80,0.3710019571493109
proteins__P12036,-0.3689471855507682
proteins__P15018,0.3640688832665409
proteins__Q9UPQ9,0.36147003139384765
proteins__O95907,0.35937044399590873
proteins__Q9UHP6,-0.35894426798424106
proteins__Q9Y3L3,-0.35567394586421064
proteins__O15442,-0.3542481058675441
proteins__P09601,0.3534907564197475
proteins__P39023,-0.35256431497032265
proteins__O95503,0.3509991439130412
proteins__Q6UXH1,-0.3479251914698259
proteins__Q96GD0,-0.3419146265437653
proteins__P14174,-0.3407807592779961
proteins__Q6ICI0,-0.34075241056175204
proteins__Q9NPC4,0.34002469776278793
metadata__age_33,0.337943184283683
proteins__O95248,-0.33683911698137825
metadata__age_76,0.3346471539744002
proteins__Q9NSQ0,0.33071011738067074
proteins__Q5BKY6,0.3297965082974427
proteins__Q8IUG5,0.3276887462357919
proteins__A6NJZ7,-0.32732258113826007
proteins__Q9UBR1,0.3257996189248779
proteins__Q15040,-0.32520566730788003
proteins__Q10571,-0.3223451276281722
proteins__Q15735,-0.32217335348569437
proteins__Q969V6,-0.32212854944997843
proteins__Q7Z6Z6,0.31922970767456743
proteins__Q9ULX9,0.3144156016334983
metadata__age_25,0.31304128655404195
proteins__Q9UBB4,-0.30626624257757984
proteins__P19971,0.3061564970471585
metadata__age_51,-0.3041784937758292
proteins__P50502,0.30362767901298715
metadata__age_39,-0.3008030202827097
proteins__Q9NZK5,-0.2997064120467715
metadata__age_72,0.29587665714237715
proteins__Q9Y3I1,-0.2953583064086158
proteins__P0DOY2,0.2943733537613172
proteins__Q9H6A9,-0.2914764760880592
proteins__P49593,-0.290071955699279
proteins__O60784,-0.2899019171655071
metadata__age_18,0.28865978643589163
proteins__Q9H1I8,0.286142608687784
proteins__Q6ZT62,-0.28610935304730667
proteins__P24347,-0.28399472525008396
proteins__Q99501,-0.2825448190823108
proteins__Q9UH99,0.2821085027454742
proteins__Q9HBI0,-0.28198306667433326
proteins__A0A590UK83,0.2819799414523628
proteins__Q9BVL4,-0.2800303322579323
proteins__P30566,0.2777718473858007
proteins__P18848,-0.2763799808748533
proteins__Q8N1L1,-0.27567103435255497
proteins__Q9UGT4,0.2717764895844943
proteins__A0A494C0Y3,-0.2713427255045834
proteins__Q9BPW4,0.27075096741320787
proteins__P35625,-0.2704113411432982
proteins__P56706,0.2698091647634591
proteins__O14791,-0.26925304021159924
proteins__Q6P575,-0.2682911494965254
proteins__P48050,-0.2651909667333348
proteins__Q6ZR54,0.2642426610472792
proteins__Q9NQH7,0.2637139551983549
proteins__Q2M1V0,0.2634243306589508
proteins__O75419,0.26151308149761154
proteins__Q8N3F8,0.26125875713116603
proteins__Q8WYQ4,-0.26016623638062236
proteins__Q9Y512,-0.2598513625139277
proteins__Q9BZR6,-0.258103000824808
proteins__P54198,-0.25641173218735624
proteins__Q9Y6J0,0.2561981816972725
proteins__O00192,0.2559891997864896
proteins__Q9UGR2,-0.2556692672630904
metadata__age_78,-0.2542359649027293
proteins__Q15759,0.25291386742409955
proteins__Q9Y3I0,0.2527587490591957
proteins__A4QPB2,0.25226044052666813
proteins__Q96AY4,0.2509865999826543
proteins__Q9BT49,0.25039421359018305
proteins__Q969S8,0.24927486493701917
proteins__Q9H4I8,0.24922651291909217
proteins__Q9H4K1,-0.24619594499951075
proteins__O43819,0.24489044121878353
proteins__Q8N8J0,0.24438136269599264
metadata__site_site1,0.24404230493828932
proteins__P55957,0.2421642747783522
proteins__Q96F46,-0.2406644825029016
proteins__Q9BPW8,-0.239812164727245
proteins__Q09327,0.23878645001190077
metadata__age_42,0.2369553753200702
proteins__P0DOY3,0.23692404220396832
proteins__Q6NVV7,0.23671315283071007
proteins__P13866,-0.23644701463303258
metadata__age_54,-0.2351499131858541
proteins__Q6NUI6,-0.2338704189647885
proteins__Q9Y295,-0.23322091929797956
proteins__Q96FE7,0.2325118241046299
proteins__Q13615,-0.22700568242559827
proteins__Q86YH2,0.22519757268168145
proteins__Q9H0A3,0.22502523869972174
proteins__O76054,0.2233375520387543
proteins__O95567,-0.22287525688515347
proteins__P53673,-0.2213516914882272
proteins__Q9NWS6,0.2198907199614294
proteins__Q6IC83,-0.21503278311150548
proteins__Q9UG56,-0.21462438737014986
proteins__Q9UDW3,-0.21387670189738028
proteins__Q5GH77,0.21208301799282717
proteins__Q9UJY5,-0.21188522020734296
proteins__P48739,-0.20968981234338
proteins__Q96MU8,0.2081295003182618
proteins__B9A064,0.208075489745956
proteins__Q99705,0.20755970254128667
proteins__P43487,-0.20538393799333896
proteins__O95721,0.20422570250619101
proteins__P0CG30,0.2019244634644038
proteins__Q9UNT1,-0.2015985999628138
proteins__Q8NEJ0,0.20152196831785457
proteins__P29274,0.20083112804779857
proteins__P78395,0.196248955625948
proteins__Q5THR3,-0.19545328227558628
proteins__Q9NRW3,-0.19462898605118897
proteins__P23142,-0.1922824765604452
proteins__O95755,-0.19151177680910947
proteins__Q9BY27,-0.19135197616067723
proteins__Q96DF8,-0.189615896167846
proteins__Q8IZ69,-0.1895611841617042
proteins__Q8N653,0.1885171661782735
metadata__age_55,-0.1883771131212891
proteins__Q9BWT7,-0.18668696989269912
proteins__Q96RT7,0.18344796206660421
proteins__P12018,-0.1834264713588374
proteins__Q96NT3,-0.18232658499584053
proteins__P46109,-0.18229167958901318
proteins__Q13356,-0.1793501981120047
proteins__P85298,-0.17928454940865346
proteins__Q96JB3,-0.17883897493085704
proteins__Q8IWL3,-0.17852624946800913
proteins__Q9NV39,-0.1781728981462147
proteins__P30046,0.1772918414546182
proteins__Q6UXV3,0.17670917703397554
proteins__P46060,-0.1766803744133544
proteins__Q569K6,0.17466322842739204
proteins__P59817,-0.17445901247998089
proteins__Q8IU80,-0.17404861341281394
proteins__A0A0A0MT76,0.17349440928589488
proteins__Q7L3V2,-0.17197035860774906
metadata__age_31,0.17190609738515927
proteins__Q9NS69,-0.1712691631857323
metadata__age_84,0.16900172424857193
proteins__B1AH88,0.16871454500955932
proteins__Q8TCT0,-0.16825218965019353
proteins__P31941,-0.1680701937898462
proteins__Q96HU1,-0.16735701276148618
proteins__P53671,-0.16594898078327514
proteins__Q9NSP4,0.16570823388960737
proteins__Q96RJ3,-0.16303717129642217
proteins__Q86V86,-0.16287167007584394
proteins__O15031,0.16259684075691844
proteins__Q9Y6X9,-0.1618547097416177
proteins__P0DSO1,0.1614605515334773
metadata__age_40,0.16130669801430772
proteins__Q9BYH1,0.1599546872413641
proteins__A8MYP8,0.15877042281669346
proteins__Q9UGU5,0.15863701061292282
proteins__P35240,0.15810493942228612
proteins__O75648,-0.15716820748438265
proteins__A8MPS7,0.15712646493528554
proteins__H7C350,0.1563003887735918
proteins__Q9UKI3,0.15568530189443508
proteins__Q2WGN9,-0.15547982594914514
proteins__Q9BR01,0.1548797901057373
proteins__Q9NQG7,-0.15344989995894262
proteins__P85299,0.15149960485407085
proteins__Q86V35,-0.149887646908164
proteins__O96017,-0.1498133545731897
proteins__Q12824,-0.14847299899484492
proteins__P0CG29,-0.1471601077482117
proteins__Q9UMW8,-0.14677154016198604
proteins__Q9BY77,0.14606238514747133
proteins__Q9Y698,-0.14474453948743382
proteins__Q8WWX9,0.1440775560369721
proteins__Q9Y3P4,0.1435464091768183
proteins__Q9HCN8,-0.14277378087149337
proteins__Q10567,0.14222743777942928
proteins__Q9NQ50,0.14221863222018152
proteins__Q9UDW1,-0.14199674337696916
proteins__Q6IBW4,-0.141196369184493
proteins__Q7Z4Y8,-0.14061505373185762
proteins__Q8IUX4,0.1374269361994234
metadata__age_62,-0.1372498889778156
proteins__O60704,0.13700885473639804
proteins__Q9NTG1,0.13700043524892455
proteins__Q6ICG6,-0.13633038341515172
proteins__Q9NYZ3,-0.13600222717669855
proteins__Q9HBE1,-0.13345026360969442
proteins__P98153,0.1330332818633411
proteins__Q8WTX7,-0.13283458315553986
proteins__Q9Y6U7,-0.1327359182929508
proteins__P28482,0.13260352809174633
proteins__P15153,0.13133711030813247
proteins__P20472,-0.1311102310068963
proteins__P53674,0.13027124649327815
proteins__Q96GP6,-0.12999510165820466
proteins__P36269,-0.12939058237716894
metadata__age_24,-0.12913061204319423
proteins__O95236,0.12908855387134593
proteins__P01701,0.1287403874415517
proteins__B5MD39,-0.12847588679622257
proteins__Q5R3F8,-0.12823270293997407
proteins__Q9NQF3,-0.1279359942257854
proteins__Q8NFI4,0.1263785675101462
proteins__Q8NDV3,0.1252035234592911
proteins__Q6ICC9,-0.12491056534011742
proteins__O43272,0.12431970934035465
proteins__P61581,-0.1234767811905308
metadata__age_81,0.12303207940229885
proteins__Q92841,-0.122481626139261
proteins__Q99757,-0.1224334910368779
proteins__P32927,0.12186649091065788
proteins__P12956,0.12036737852971034
proteins__A6NGB0,0.11956143366766303
proteins__Q8NFQ6,0.11781132197171422
proteins__P17861,0.116997588134117
proteins__P13725,-0.11622873001429321
proteins__Q7Z3Z3,-0.11620665490667692
proteins__O14994,0.11560199941792487
proteins__P36543,0.11513193291345848
proteins__P26998,-0.1146256971071267
proteins__Q8NEG7,-0.11228280783623884
proteins__P86434,0.11214745265804696
proteins__Q9NRD5,0.11080872736315565
proteins__P55769,0.10912488607160867
proteins__Q9BU23,-0.1088138540058972
proteins__P53675,-0.10807859151243891
proteins__Q8IWD4,-0.10788691858933279
proteins__Q53GT1,0.10661106200881855
proteins__A0A087X1C5,0.1061909906365233
proteins__Q13387,0.10613941225176445
proteins__Q9Y534,-0.1047393477821202
metadata__sex_0,0.10382918368875704
proteins__Q9BXI9,0.10378944818050967
proteins__P19086,0.10366447655264745
proteins__Q6ICH7,0.10301731450167133
proteins__Q9BZE7,-0.10291032181052329
proteins__Q6S545,-0.1028369323595499
proteins__Q9BYW1,-0.10275563224165178
proteins__Q6PGQ1,0.10207293042215633
proteins__O95985,-0.1016266591535053
proteins__P09382,0.10156441536214207
proteins__A8K8P3,0.10108085199291734
proteins__Q6ZQY2,0.1009504014423182
metadata__age_66,-0.10063619798343382
proteins__O60755,0.10041662444422715
proteins__P62877,-0.10005764524095166
proteins__Q14106,0.10000902340320118
proteins__Q5THK1,0.09996070554524887
proteins__O43251,-0.0996569139813117
proteins__Q96RN5,-0.0991074036735953
proteins__Q9NP61,0.09903486618980263
proteins__Q92871,-0.09622211358690726
proteins__O43759,0.0961557663502423
proteins__Q15750,-0.09412637495572808
proteins__O95922,-0.09279410526692006
proteins__Q9NY91,0.09274772126307052
proteins__Q9Y3M2,0.09171546394581435
proteins__Q69YQ0,-0.09160178204386084
proteins__Q15049,-0.09152842658771533
proteins__O43247,-0.0909094792198916
proteins__Q9Y442,0.0907973801269903
proteins__O43246,0.08993557778216948
proteins__P15289,-0.08971124696515623
proteins__Q13769,-0.0896517289367868
proteins__O75791,0.08961801116835362
proteins__P14784,0.08908377384362513
proteins__P53814,0.0883466070286438
proteins__Q9BWW8,0.0876679143124468
proteins__L0R8F8,0.08743783843656226
proteins__A6NM43,-0.08635017131863035
proteins__O96015,-0.08624417729604669
proteins__P10635,-0.08606991611303158
proteins__P25325,0.08532645003441719
proteins__Q6NXT1,0.08500126747241638
metadata__site_site2,-0.0848076488777778
proteins__Q9NZ20,-0.08160171456005125
proteins__O00587,-0.08062319660654281
proteins__Q9UIA0,-0.08050031238370617
proteins__Q8IZJ4,-0.08010610406481146
proteins__A4QPH2,-0.07830178404999645
proteins__P56556,0.07758608217953201
proteins__Q9BYB4,0.07699248808791564
proteins__P11274,-0.07601927225566371
metadata__age_77,-0.07590142217568419
proteins__P30536,0.07533998940405272
metadata__age_47,0.07500482681692362
proteins__Q9UH36,0.07448026082137649
proteins__Q9NRA8,0.0742047766218995
proteins__Q9UH03,-0.07383830235074029
metadata__age_36,0.07374792166046865
proteins__O75170,-0.07348052512920299
proteins__Q8NEG4,0.0724439833036511
proteins__Q9UNF0,0.07022815896310608
proteins__Q9P0X4,0.06915169541453665
proteins__Q9BY89,0.06881299638574497
proteins__Q9NY65,-0.06841727224851865
proteins__F5H4B4,0.06761371447648741
proteins__O75140,0.06671914787604405
proteins__Q8IYW4,0.06595810048778154
proteins__Q8NG94,0.06594320176611371
proteins__Q9HC16,0.06578649715601792
proteins__P61580,0.06470726684639093
proteins__P0C7P2,-0.06429638448477076
proteins__Q9UGU0,-0.06421410746915426
proteins__Q2VPJ9,-0.06288643643676785
proteins__O43808,-0.06256693941470771
proteins__A0A494C0N9,0.062414869641812996
proteins__P42356,-0.06230198148128492
proteins__Q9BWW9,-0.06166691120328419
proteins__Q92737,-0.06086722460717425
proteins__O75132,0.059041106131063656
proteins__Q3SXP7,-0.058297970218280856
proteins__Q969R2,-0.058296895107458786
proteins__Q9BXF3,0.057827695130287245
proteins__Q9BYB0,0.057658983628371255
proteins__Q6UXY1,-0.056542523286139124
proteins__P05162,-0.056294254054777434
proteins__P33992,0.05608709706444757
proteins__P05546,0.0546295205730261
proteins__Q5R3I4,-0.05444438416840555
proteins__Q00587,-0.05428104994124843
proteins__P0CG04,0.05427792122557039
metadata__age_52,0.05399021302765926
proteins__O75600,-0.05358128463559737
proteins__O95696,0.05272852158461549
proteins__Q8N5Z5,-0.05267823405000547
proteins__Q9Y3A4,0.05242297941199371
proteins__Q96AK3,0.052129091951871875
proteins__Q7Z4H4,-0.05168431979130498
proteins__Q9UKX7,-0.05162179059643294
proteins__Q9H1K4,0.05158606841952364
proteins__Q9H4I9,-0.051425893470778423
proteins__O75678,-0.051278168319672815
proteins__P53007,-0.051039164621754236
proteins__Q9BW83,0.05071830502789013
proteins__Q6ICL7,-0.0491829906183505
proteins__Q6ICB0,0.04916407247346615
proteins__O15371,-0.04810350382696382
proteins__Q96A84,0.04786059343396746
proteins__P49674,-0.046950186004152086
proteins__Q9BXQ6,0.04674693629021881
proteins__Q9Y259,-0.04673612760689904
proteins__A6NHG4,0.046130047350455936
proteins__Q2NKQ1,0.045930697648586746
proteins__Q16587,0.045338947778823926
proteins__P56693,0.04454214868219183
proteins__O75631,0.04442300050245103
proteins__Q99999,0.04413135982334725
metadata__age_67,0.0439893077742395
proteins__Q15459,-0.043794563383425404
proteins__Q09472,0.043111324805258984
proteins__O00178,-0.04182375154912436
proteins__P13224,0.04144745243569864
proteins__Q15080,-0.04132641008097098
proteins__B5MCN3,-0.040690247991532015
proteins__Q9Y262,-0.0404642724762432
proteins__O95502,0.040347295517207955
proteins__P0DOX8,-0.03955090821480444
proteins__Q14129,-0.03905084556365975
proteins__Q86WX3,-0.03854940357862987
proteins__Q96D21,-0.03799720612670972
proteins__P00387,-0.037509529464672876
metadata__age_82,-0.036752620276828664
proteins__Q9Y519,-0.03632669998886532
proteins__Q8NET5,-0.03623363273953474
proteins__Q9ULC8,-0.03491336695966194
proteins__Q6ICB4,-0.03363944533826355
proteins__Q6NTF7,0.03265852845086293
proteins__P62318,0.032093249885917365
proteins__O43731,0.03205428850294981
proteins__Q96M85,-0.029915666349288446
proteins__A1L190,-0.02902226030494651
proteins__P61218,0.028844582376843484
proteins__O43435,-0.02728362215695913
proteins__Q96PF2,-0.027020418566097947
proteins__P01127,-0.02553015155253233
proteins__Q8WYQ3,0.025484342401694286
proteins__Q8WYQ5,0.02521100061509235
proteins__Q7RTV0,0.02430200905328454
proteins__A6PVC2,0.021505508946516153
proteins__Q12772,0.021439310343353876
proteins__O75677,0.02123524316365892
proteins__P02144,0.021225219716676378
proteins__Q9UBB9,-0.0202251612160335
proteins__Q5TIA1,0.019789806938532325
proteins__Q9NNW7,0.019217328943594365
proteins__Q96G42,-0.018601553796125436
proteins__Q6ZVW7,0.018520634636039496
proteins__Q9BXT6,-0.01842880499730645
proteins__P43320,0.018365841699944322
proteins__Q8IYX3,0.017964290935244803
proteins__P10323,0.017686988450785993
proteins__Q6ICG8,-0.017608403546328304
proteins__O75679,-0.017405025343727242
proteins__Q6P5X5,0.016911039197696383
proteins__Q7Z6W7,0.01609584493710164
proteins__O00501,-0.015819873542304623
metadata__age_57,0.015361946416111825
proteins__Q9UGY1,0.01501463695048064
proteins__B8ZZ34,0.014587219626592488
proteins__O95931,-0.014403254812309004
proteins__Q8IVS2,-0.014255571502107602
proteins__P35579,-0.01321933565428561
proteins__Q96NN9,-0.013115489114340146
proteins__Q13323,-0.01287722880331569
proteins__P21964,0.0120230140150343
proteins__Q9NST1,0.011562050322007219
proteins__Q7Z412,-0.010530584162769927
proteins__Q9BV10,0.010471908072669022
proteins__A0A024R1R8,0.009796495227617464
proteins__Q8WUA7,0.00935631185163666
proteins__A0A0A0MRZ9,-0.009067865470340483
proteins__Q9H2D6,-0.009017663059393576
proteins__Q9UDX5,-0.00878132386406098
proteins__Q7Z5A7,-0.008611134357640623
proteins__P19440,0.008153932678438865
proteins__Q99719,-0.007069958461826964
proteins__Q9NQG6,-0.007051930605002707
proteins__A0A1W2PR19,-0.0068395107199279315
proteins__Q9NYQ6,0.0065261517748782276
proteins__Q9UDX3,0.006018055540331413
proteins__Q16762,0.0057287746637070605
proteins__Q6IC98,-0.004357574067845741
metadata__age_23,-0.0037351467835779026
proteins__Q07869,-0.00344163788541719
proteins__P20062,-0.002354018520338544
proteins__Q8IWF2,0.00191988636271324
