feature,coefficient
proteins__Q96GF1,2.3772089119058646
metadata__age_68,-1.73172930876704
proteins__A0M8Q6,1.73158093461766
proteins__P15814,1.7223033113545698
proteins__Q9UGB7,-1.713560737472189
proteins__Q8N7B1,-1.7048876810486326
metadata__age_53,1.7012317982134828
proteins__O15547,1.6973803328731707
metadata__age_50,-1.5699355949105165
metadata__age_59,1.5372221002051516
proteins__Q9Y535,-1.4195312344774662
metadata__age_79,-1.415129574120868
proteins__Q9H6E4,1.4007498836873176
metadata__age_29,-1.3478814523393365
metadata__age_28,1.270432827415684
proteins__Q99798,1.2203499114782934
metadata__age_43,-1.1712535107441902
metadata__age_38,1.1560313864915968
metadata__age_20,-1.1528430776212764
metadata__age_70,1.1477302104798437
proteins__O15499,1.1297344044849065
proteins__Q01844,1.088470351308893
metadata__age_71,1.0537542846630439
metadata__age_74,1.0122763822101213
metadata__age_41,0.9983723804532506
proteins__Q9UDX4,-0.97558084684709
proteins__Q9ULT6,0.9462870347235148
metadata__age_44,0.904631182627385
proteins__Q9H4I3,-0.8981107881133136
proteins__Q7RTP6,-0.8592720439461828
proteins__Q92523,-0.856820599001322
proteins__P0C7N4,-0.8016905825584179
proteins__Q9UFD9,0.7956600199820648
proteins__P17050,0.7744804671438541
metadata__age_83,0.7638739661145404
metadata__age_27,-0.7473389580631825
metadata__age_19,-0.7348441739663881
proteins__Q14166,0.7277814730933113
proteins__Q9UH17,-0.715316614233978
metadata__age_35,-0.7054087113878962
metadata__age_21,-0.7033485262523229
metadata__age_56,0.6999777023092146
metadata__age_49,-0.6948368124430376
metadata__age_73,-0.6857645341806089
metadata__age_80,-0.6656408322401235
metadata__age_85,0.6521856619302359
metadata__age_65,0.643010392631422
proteins__Q9BXI6,0.6143923337398262
metadata__age_32,0.6050398106585788
metadata__age_60,0.6006271006728957
proteins__Q9HBI1,0.5969867427577469
metadata__site_site3,-0.5958800933923141
metadata__age_22,-0.5829002521366663
metadata__age_48,-0.5761984750073792
proteins__P68036,0.570715588383434
proteins__Q92890,-0.570364257563825
proteins__Q9BXW7,0.5693485949341052
proteins__Q96EK2,0.5667129695930534
proteins__Q9UC06,0.5422119130201497
metadata__sex_1,-0.5404746210205585
proteins__Q9BXK5,-0.5344856327563763
proteins__Q6ICL3,0.5212382194709059
metadata__age_46,-0.5117978780573906
proteins__P32745,-0.507201883412879
metadata__age_45,0.5058637193636967
metadata__age_37,0.49365492162130004
metadata__age_30,-0.4924379819690795
proteins__P35626,-0.4803045938102609
proteins__Q96RD6,-0.47343247129101135
metadata__age_58,0.46541834485276945
proteins__Q10587,0.4644199308390696
metadata__age_75,-0.4450590417638086
proteins__A0A6I8PU40,0.4423481078265115
proteins__Q14565,-0.4408305162035906
metadata__age_64,-0.43852579271634806
proteins__O60688,0.4309560098783047
proteins__O60733,0.42959762040809124
proteins__Q9BQE5,-0.42660888809510644
proteins__P53778,0.42295603720093305
proteins__Q14390,0.4156134507476829
metadata__age_61,-0.4064460368180316
proteins__Q3SYA9,-0.3958706527165016
proteins__Q969R5,-0.3942786220829488
